0,7326,7401,7402,7403,7404,7405,7406,7407,7408,7409,7410,7411,7412,7413,7414,7416,7417,7419,7420,7421,7422,7423,7424,7425,7426,7428,7429,7430,7431,7432,7433
7326,2,-1,1,1,1,1,1,1,1,0,-1,0,1,1,2,2,2,0,0,1,1,1,1,1,2,2,2,1,1,1,1
7401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7402,2,-1,NA,2,2,-1,0,1,1,1,1,1,2,2,2,2,2,0,1,2,1,1,1,1,2,2,-1,2,-1,2,1
7403,NA,-1,1,NA,1,2,1,2,1,NA,0,0,0,1,1,0,2,0,1,0,2,2,2,2,2,1,2,2,-1,2,1
7404,2,-2,1,2,NA,0,1,1,0,0,0,0,1,0,1,2,2,0,1,0,0,2,1,0,2,1,0,2,0,1,1
7405,1,0,-1,2,1,NA,0,2,-1,0,1,-1,1,0,2,1,1,0,2,1,1,1,2,2,1,2,1,1,1,1,2
7406,1,-1,0,1,2,1,NA,2,0,-2,0,1,0,0,1,-1,1,0,0,1,1,1,1,1,1,0,0,1,-2,0,0
7407,1,0,1,1,1,2,1,NA,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,1,2
7408,1,-1,1,1,1,-1,0,2,NA,-1,0,2,1,0,1,1,1,0,0,0,0,1,0,0,NA,0,0,0,0,1,2
7409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7410,0,1,0,1,2,1,0,1,0,0,NA,0,1,0,0,1,1,1,2,0,1,1,2,0,0,1,1,1,0,1,1
7411,-1,-1,1,1,2,0,2,2,2,-1,-1,NA,1,1,1,1,0,-1,-1,1,-1,1,1,1,1,-1,-1,1,1,2,2
7412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7414,1,-1,2,0,0,1,0,2,0,-1,0,1,2,2,NA,1,NA,0,0,1,-1,0,1,1,0,1,1,0,-1,2,1
7416,2,-2,1,2,1,0,-1,1,-1,0,0,0,0,1,1,NA,2,NA,0,1,1,2,1,1,2,2,-1,2,1,1,0
7417,2,-1,1,1,2,0,0,0,0,-1,0,0,-1,-1,0,2,NA,-1,0,1,1,1,1,1,2,2,-1,2,1,-1,0
7419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7420,0,-1,0,0,1,1,0,1,0,-1,2,0,0,0,0,0,0,0,NA,0,1,0,1,1,0,1,1,0,0,0,0
7421,1,-1,1,1,1,0,1,1,0,-1,0,0,-1,2,1,1,1,-1,0,2,-2,1,0,0,0,1,1,1,2,1,1
7422,1,1,0,1,1,1,1,1,-2,1,-2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,-1,-2,0
7423,0,NA,0,2,1,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,NA,1,0,2,1,0,1,0,0,0
7424,1,-1,0,0,0,1,1,1,0,2,1,0,0,1,0,0,1,0,1,1,2,0,NA,1,0,0,2,0,1,0,0
7425,1,-1,0,0,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,0,0,2,0,1,NA,0,1,1,-1,-1,0,0
7426,0,-1,1,2,2,1,1,0,0,0,0,0,1,0,0,2,2,0,0,0,0,2,1,0,NA,1,1,2,0,0,0
7428,2,-1,1,1,1,2,1,2,-1,-1,1,-1,0,0,1,2,2,NA,2,1,1,1,1,2,1,NA,1,0,1,1,2
7429,1,-1,0,0,0,1,0,1,-1,-2,0,0,0,2,0,0,0,-1,0,1,2,0,2,2,0,0,NA,-2,1,-1,0
7430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7431,1,0,0,1,1,1,-2,-1,-2,0,0,0,0,2,-2,1,1,0,1,2,0,1,1,1,0,0,1,0,NA,-1,-2
7432,1,-1,2,1,1,0,0,1,1,0,0,0,2,2,2,1,1,0,0,1,0,0,0,1,0,1,0,1,0,NA,1
7433,1,0,1,1,0,2,-1,2,2,0,0,-1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,NA
