0,4101,4102,4103,4104,4105,4106,4107,4108,4109,4110,4111,4112,4113,4114,4115,4116,4117
4101,2,-1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1
4102,1,0,1,0,0,1,0,1,1,1,-1,1,1,2,1,0,0
4103,0,0,0,0,1,1,0,0,1,1,1,1,2,1,0,2,2
4104,0,0,0,2,0,0,0,1,0,-1,-1,2,0,1,2,-1,1
4105,1,1,2,0,0,2,-2,-2,2,2,2,2,1,1,0,0,1
4106,0,0,2,0,1,0,-2,-1,0,2,1,1,2,0,0,-1,-1
4107,1,0,1,0,-2,0,0,2,0,1,0,2,1,1,0,1,1
4108,1,0,1,1,-1,1,2,0,1,0,0,2,0,1,1,0,1
4109,0,0,2,0,2,1,-1,-1,0,0,2,1,1,1,0,0,1
4110,0,-1,1,0,1,2,0,0,0,2,2,1,1,0,0,0,0
4111,1,1,2,1,2,2,0,0,2,2,0,1,2,1,1,1,1
4112,2,-1,0,1,2,1,2,2,2,1,-2,0,2,2,2,2,2
4113,0,0,2,0,1,2,0,0,1,1,1,2,0,0,0,0,0
4114,2,1,0,1,1,0,0,1,0,0,0,2,1,0,2,1,1
4115,1,1,0,2,0,0,0,0,0,0,0,2,0,2,0,0,1
4116,2,0,1,1,-1,0,1,1,0,0,0,2,1,2,1,2,2
4117,2,0,1,2,1,0,1,1,1,0,0,2,1,2,2,2,2
