0,2801,2802,2803,2804,2805,2806,2807,2808,2809,2811,2812,2813,2814,2815,2817,2818,2819,2820,2821,2823,2824,2825,2826,2827,2828,2829,2830,2831,2853,2891
2801,NA,0,0,-2,-2,-1,1,0,0,1,1,1,0,2,-1,0,-1,-2,-1,0,0,0,0,-1,-1,-1,2,0,-2,1
2802,1,NA,0,-1,0,0,0,2,0,2,1,2,0,0,0,0,1,-1,0,0,-1,0,0,0,0,0,0,1,0,0
2803,0,0,NA,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2804,-2,0,1,2,0,1,0,2,0,2,2,2,2,2,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0
2805,0,0,0,0,NA,0,1,1,0,1,1,1,0,1,0,0,-1,-2,-2,0,0,1,0,1,1,0,-1,-2,-2,1
2806,-2,0,2,1,0,NA,0,1,0,1,1,1,2,0,2,1,1,1,2,-2,2,0,1,0,0,2,-2,NA,-2,-2
2807,0,1,0,-2,1,-1,NA,1,1,1,-2,1,0,-1,-1,0,-1,-2,0,0,-2,2,1,2,2,-2,-2,0,-2,2
2808,0,1,1,2,0,0,NA,2,0,2,2,2,0,0,NA,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0
2809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2811,0,2,2,NA,0,0,2,0,0,NA,2,2,0,-1,0,1,2,2,0,NA,0,0,0,2,1,0,-1,0,0,1
2812,0,1,1,2,0,1,0,2,0,1,NA,2,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0
2813,2,2,2,2,1,1,0,2,0,2,2,NA,1,0,0,2,2,2,0,0,2,0,0,1,0,0,NA,1,0,0
2814,-1,0,1,1,0,2,0,1,1,1,1,1,2,1,2,2,2,1,2,2,2,1,1,1,1,2,1,1,1,1
2815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2817,0,-1,-1,1,0,2,0,0,0,1,1,1,2,1,NA,2,1,1,2,2,1,1,1,1,-1,2,-1,-1,-1,-1
2818,-1,0,-1,1,1,1,2,1,2,1,-1,1,1,-1,1,NA,0,0,1,2,0,2,1,2,2,1,-1,-1,-1,2
2819,-1,1,1,2,NA,1,0,2,1,2,2,NA,0,0,1,2,NA,2,2,1,1,0,2,1,0,0,0,0,NA,1
2820,-1,0,2,0,1,1,-1,2,0,2,2,2,1,-1,0,1,2,2,2,1,2,0,1,0,0,1,-1,0,0,0
2821,-2,0,0,-1,-1,2,-1,0,0,0,0,0,2,-2,2,0,2,0,NA,1,2,-2,2,0,0,2,-1,-1,-2,-2
2823,0,0,NA,NA,NA,-2,0,NA,1,1,1,1,2,2,2,2,2,NA,2,2,0,2,NA,NA,NA,NA,2,NA,2,2
2824,0,0,1,1,NA,2,0,0,0,0,0,0,2,0,1,1,1,2,0,0,NA,0,0,0,0,2,0,0,-1,0
2825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2827,-1,0,0,-2,1,-1,1,-1,0,2,0,0,0,-2,-2,0,0,0,0,1,0,1,0,0,1,-1,-2,-1,-2,1
2828,0,0,1,-1,1,0,1,-1,1,1,0,0,0,0,0,1,0,-2,0,1,0,1,0,2,NA,0,0,-1,-1,2
2829,-2,1,1,1,-2,2,-2,-2,1,-2,1,1,2,-2,2,1,1,1,2,2,2,1,1,1,1,2,-2,-2,-2,-2
2830,2,0,-1,-2,-2,-2,1,0,0,0,0,0,-1,1,-2,0,-2,-2,-2,-2,-2,1,-2,1,1,-2,NA,-1,-2,-1
2831,-1,1,0,-2,0,0,0,0,0,1,1,1,1,-1,-1,1,1,-1,0,0,0,0,0,1,0,0,-2,NA,-2,1
2853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2891,1,-1,0,-2,1,-1,1,-1,1,1,1,1,1,-1,-2,1,0,0,-1,1,-1,1,0,2,2,0,1,-1,-2,NA
