0,6401,6402,6403,6404,6405,6406,6407,6408,6409,6410,6411,6412,6413,6414,6415,6416,6417,6418,6419,6420,6421,6422,6423,6424,6425,6426,6427,6428,6429,6430,6431,6432,6433,6434,6435,6436
6401,0,-1,1,1,2,1,0,0,1,2,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1
6402,1,2,1,2,2,0,-2,2,2,0,0,-1,0,1,-1,0,1,-1,-1,2,0,2,1,2,0,0,0,0,0,0,2,0,0,0,0,1
6403,1,1,0,2,1,2,2,1,2,1,1,2,2,2,2,1,2,1,1,2,1,2,2,-1,0,2,2,0,2,1,2,2,2,2,1,2
6404,0,1,2,0,1,1,-1,1,2,1,1,0,0,2,-1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,-1,2,1,1,1,-1,2
6405,2,2,2,2,0,2,2,1,2,2,2,0,2,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,0,2,1,1,1,1,1
6406,1,1,2,1,2,0,1,1,1,1,1,2,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,2,1,0,2
6407,1,1,2,2,2,1,0,1,1,1,1,2,2,2,1,1,2,1,1,2,1,2,2,1,0,1,2,1,2,1,1,1,1,1,1,1
6408,1,2,2,2,1,1,-1,0,2,1,1,0,1,2,-2,1,1,0,-1,2,1,2,1,2,1,2,1,-1,2,0,2,-1,2,1,1,2
6409,1,2,2,2,2,2,1,1,0,1,1,0,1,2,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,2,1,1,1,0,2
6410,2,0,1,1,2,1,1,0,1,0,0,2,2,1,1,-1,0,0,1,0,0,0,1,0,-1,0,2,0,2,0,1,2,1,1,2,0
6411,1,1,1,1,1,1,1,1,1,1,0,1,2,2,2,1,1,1,1,1,2,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1
6412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6413,1,1,2,1,1,1,0,1,1,1,0,0,0,2,-2,1,1,0,-1,1,1,1,1,0,0,-1,2,-1,2,0,1,1,-2,1,1,1
6414,0,1,1,1,1,1,1,1,1,1,2,1,2,0,1,0,0,0,2,1,1,1,1,1,1,1,2,0,2,-1,2,-2,-1,1,1,2
6415,2,2,2,1,2,1,0,1,0,2,2,2,2,0,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2
6416,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,2,2,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1
6417,2,1,2,1,1,1,2,1,1,1,2,1,1,2,2,2,0,1,0,1,1,0,2,2,2,0,1,1,2,0,1,0,0,2,2,2
6418,2,0,2,1,2,1,-1,1,1,1,1,2,1,2,1,2,2,0,2,1,0,1,1,-1,0,2,1,2,2,2,2,0,2,2,2,1
6419,1,0,2,2,2,2,1,1,1,0,2,2,2,2,2,2,1,1,2,1,0,2,1,1,1,1,2,2,2,2,2,0,2,1,2,2
6420,1,2,2,2,2,2,-1,2,2,1,2,0,2,2,-1,0,0,-1,0,2,1,2,2,2,2,1,2,-1,2,-1,2,0,2,1,0,2
6421,1,0,0,0,1,0,0,1,1,0,2,0,1,1,1,0,2,0,0,1,2,0,1,2,2,1,1,0,0,0,0,1,0,2,0,1
6422,1,2,2,2,1,1,2,1,1,0,2,2,2,2,2,2,1,1,2,2,1,0,2,1,1,2,2,1,1,0,1,1,2,1,2,1
6423,1,1,1,2,1,1,1,1,2,0,0,0,1,0,-1,1,2,0,0,1,1,2,0,0,2,1,1,0,0,0,0,1,1,2,1,1
6424,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,2,0,0,0,2,1,1,1,2,1,1,1,1,1,1,1,0,1,0,2
6425,1,1,1,1,0,-1,-2,1,0,-1,2,0,0,1,0,-1,2,0,0,1,2,1,1,2,2,1,0,-2,-1,-2,0,1,0,2,1,1
6426,0,1,2,2,1,2,1,2,1,1,0,2,2,1,1,1,0,1,0,2,0,1,0,1,0,0,2,1,2,0,1,0,2,2,0,1
6427,1,1,2,1,2,2,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,-1,1,1,2,1,1,1
6428,1,1,1,0,1,0,0,1,1,-1,1,2,-2,1,1,1,1,2,2,1,0,1,1,0,0,2,2,2,0,2,-1,-2,2,1,1,0
6429,1,1,1,1,0,1,1,1,1,2,2,0,2,1,-1,0,0,0,0,2,0,1,0,-1,-1,2,2,0,0,-2,1,1,2,0,-1,0
6430,0,1,1,0,0,1,0,0,1,1,1,2,0,0,1,2,1,1,2,1,0,0,0,0,0,0,0,2,1,0,2,2,2,1,1,1
6431,1,1,2,2,1,0,-1,2,2,0,1,1,0,2,1,1,1,0,2,2,-1,1,1,-1,-1,1,2,-1,1,-1,0,-1,2,1,1,2
6432,1,0,1,1,1,0,0,-1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,-1,1,-1,-1,0,1,0,1,0
6433,1,1,2,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,1,2,1,2,1,2,2
6434,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2,0,0,1,0,1,2,0,0,1,1,0,1,1,1,1,1,0,1,2
6435,1,0,2,0,2,0,-1,1,1,2,1,1,2,2,2,1,1,2,2,1,0,2,2,0,0,0,2,2,2,2,2,1,2,1,0,2
6436,0,1,2,2,0,2,0,1,1,0,1,0,1,1,0,0,1,-1,0,1,1,1,1,1,0,1,1,-1,1,0,-1,0,1,2,-1,0
