0,7330,7615,7701,7707,7708,7709,7712,7714,7715,7716,7718,7719,7721,7722,7723,7725,7729,7730,7731,7760,7761,7762,7763,7764,7765
7330,NA,-1,1,0,0,-1,-1,-1,0,-1,-1,NA,0,0,1,0,-1,-1,1,-1,0,-1,0,0,-1
7615,0,NA,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,2,1,0,0,0,0,0,0
7701,2,0,NA,2,0,1,-2,-1,-1,-2,0,1,0,1,0,2,1,1,1,0,1,-2,-2,1,-2
7707,-2,1,2,NA,1,0,0,1,-1,-2,0,0,0,0,1,2,-1,0,1,0,2,-1,1,1,-2
7708,0,1,-1,-1,2,1,0,2,2,0,2,-2,2,1,2,1,-2,1,0,1,2,-1,2,2,1
7709,0,2,0,0,1,NA,2,1,0,1,0,0,1,2,1,0,1,2,1,2,2,0,0,1,1
7712,0,2,0,0,0,2,2,1,0,0,0,-2,0,2,0,0,1,2,0,2,1,1,0,0,0
7714,-1,1,1,-1,2,2,0,2,1,2,2,0,2,0,2,0,0,1,1,2,1,1,1,1,1
7715,2,2,0,0,2,0,0,2,2,2,2,0,0,0,2,0,-2,1,2,2,2,0,2,2,2
7716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7718,0,0,-1,0,2,-2,-2,1,1,1,NA,-2,-1,-2,2,-2,-2,0,0,0,-1,0,1,2,0
7719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7721,0,1,0,0,2,1,0,2,0,0,0,1,2,1,0,2,1,0,-2,0,1,1,0,2,-1
7722,0,1,0,-1,0,2,2,1,0,1,0,2,1,2,1,0,1,2,1,2,1,-1,0,0,0
7723,1,1,1,0,2,1,1,2,2,2,2,2,1,2,NA,1,1,1,1,1,1,1,2,2,1
7725,-1,0,0,-1,0,1,0,0,-2,0,0,-1,2,0,0,NA,2,0,0,0,0,-2,-1,1,0
7729,0,1,-1,0,1,1,1,0,-1,-1,0,-2,0,1,0,1,NA,1,0,0,2,-1,-2,-2,2
7730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7731,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,NA,0,0,0,0,0,0
7760,-1,-1,0,0,1,2,2,0,0,1,-1,1,0,2,1,0,1,1,NA,NA,1,0,1,0,0
7761,1,0,0,0,0,1,1,0,0,-1,-1,-2,-1,0,1,-2,2,1,-1,2,NA,-2,2,0,2
7762,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,NA,1,1,0
7763,0,0,0,0,2,1,1,1,1,0,0,1,0,0,2,0,-2,2,0,2,2,0,NA,2,0
7764,1,1,1,0,2,1,-1,1,2,0,2,-2,1,1,2,1,-2,1,1,1,-1,0,2,2,-2
7765,0,0,-1,0,1,1,0,0,0,0,-1,-2,-1,0,1,-1,2,1,-2,0,2,-2,2,-1,NA
