0,7413,7502,7504,7506,7507,7508,7509,7511,7513,7514,7516,7522,7523,7524,7526,7527,7528,7530,7533,7551,7562,7702
7413,2,0,0,2,-2,2,0,1,2,0,2,0,1,-1,1,-1,1,-1,2,0,0,-2
7502,-1,NA,0,1,2,-2,2,2,-1,1,-1,0,2,2,0,2,2,1,2,0,0,-1
7504,0,1,NA,0,1,0,1,-1,0,2,0,0,0,0,2,1,0,1,0,-1,0,1
7506,1,1,0,NA,1,2,0,0,1,1,1,1,2,-1,2,-1,-1,-1,2,-2,2,2
7507,0,2,2,1,NA,-1,2,1,-1,2,-1,2,2,2,2,2,2,2,2,1,0,1
7508,2,-2,0,2,0,NA,0,-1,2,2,NA,0,-1,-1,2,-1,0,0,2,2,0,1
7509,-1,2,-1,0,2,0,NA,-1,0,-1,0,0,0,2,0,0,1,2,0,-1,0,1
7511,0,1,0,1,1,1,0,2,0,0,0,-1,1,1,1,1,1,-1,1,2,0,-1
7513,1,0,0,1,0,1,0,-1,0,0,1,0,0,0,0,0,0,0,0,-2,0,0
7514,0,1,2,0,1,0,1,0,-1,NA,-1,0,1,0,2,-1,1,1,0,-1,0,0
7516,2,1,0,2,1,2,0,-2,0,1,0,1,0,1,0,-1,1,1,2,-2,0,-2
7522,-1,2,0,0,2,0,1,0,0,1,-1,NA,2,1,1,1,2,1,1,-1,0,0
7523,-1,2,0,0,2,-2,1,0,-1,1,-1,2,NA,2,1,2,2,2,1,-1,-1,0
7524,-1,2,0,-1,1,-1,1,1,-1,0,0,1,1,NA,0,2,1,1,1,0,0,1
7526,1,1,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
7527,-1,2,1,-1,0,-2,0,1,-2,0,0,0,0,2,0,NA,0,0,2,-1,-1,-1
7528,0,2,0,0,2,0,0,2,0,1,0,2,2,2,0,2,NA,0,1,1,0,0
7530,0,1,1,0,1,0,2,-2,0,1,0,1,1,0,1,-2,0,NA,0,0,1,0
7533,1,2,0,2,1,1,0,1,0,0,2,1,1,2,1,1,1,0,NA,0,2,0
7551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7702,-1,0,1,2,2,0,2,-2,0,1,-1,1,1,1,1,1,0,2,0,-2,2,NA
