0,6101,6102,6103,6104,6105,6106,6107,6108,6109,6110,6111,6113,6116,6117,6118,6121,6122,6123,6125,6126,6128,6129,6133,6170
6101,NA,1,0,0,0,0,0,0,0,0,-1,0,2,-2,-2,-1,0,0,0,0,2,1,0,1
6102,2,NA,1,2,2,2,0,1,1,0,-1,1,1,-1,-1,1,1,2,1,2,1,2,1,2
6103,0,1,NA,2,NA,0,0,2,0,0,0,0,0,1,0,1,0,0,2,0,0,1,1,0
6104,0,1,2,NA,1,1,0,2,0,0,0,0,0,0,-1,0,0,2,0,1,-1,2,0,1
6105,1,2,0,2,NA,2,-1,1,0,-1,-1,NA,0,0,-2,1,0,2,1,2,-1,2,-2,2
6106,-1,2,0,0,2,2,1,0,0,-1,1,0,-1,0,-2,0,0,1,1,2,0,1,1,2
6107,0,0,0,0,0,1,NA,-1,0,0,1,1,0,0,-1,0,0,0,2,0,0,0,2,-1
6108,0,1,2,2,2,1,0,NA,0,0,0,0,0,0,0,0,0,2,2,1,1,2,0,2
6109,0,1,1,1,-1,0,0,1,2,2,0,1,0,2,0,1,1,1,1,0,2,0,0,0
6110,1,0,0,0,-2,-1,0,-1,2,NA,0,0,1,2,1,2,1,0,0,-2,2,-1,0,-2
6111,0,0,0,0,-1,1,1,-1,0,1,NA,2,2,1,2,0,2,0,1,1,1,-1,1,-1
6113,1,2,1,1,0,1,2,0,1,1,2,NA,1,0,2,0,2,1,2,2,1,1,1,-1
6116,2,1,0,0,1,0,1,0,0,0,2,1,NA,-2,-1,0,2,0,1,0,2,0,1,0
6117,0,0,1,0,-1,0,1,0,2,2,1,0,-2,NA,0,1,0,0,0,0,1,0,0,0
6118,-2,0,0,0,-1,0,1,0,0,0,2,2,1,-2,NA,0,2,0,1,-1,2,-2,1,-2
6121,-1,1,1,0,2,1,-1,0,1,2,-1,-1,0,1,-1,NA,-1,0,0,0,2,0,-1,0
6122,0,1,0,0,0,1,1,-1,1,0,2,2,2,0,2,0,0,0,1,2,1,1,0,1
6123,1,2,0,2,2,1,0,2,1,0,0,0,0,0,-1,0,0,NA,1,1,1,2,0,2
6125,1,0,2,0,1,2,2,1,0,0,0,0,0,0,0,1,0,1,2,-1,0,-2,2,-2
6126,1,2,-1,0,2,2,0,1,0,-1,-1,-1,-1,-1,-1,-1,2,1,0,NA,0,1,0,2
6128,2,1,1,-1,-2,-2,0,-2,2,2,2,1,2,2,2,2,2,1,0,-1,NA,2,0,0
6129,1,2,-1,2,2,1,-2,2,0,-2,-2,-1,-1,-1,-2,-1,0,2,-1,1,1,2,-2,2
6133,0,0,1,-2,-2,2,2,0,-1,-1,1,0,-1,0,-2,-1,-1,1,2,-1,-1,-2,2,-2
6170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
