0,3202,3203,3204,3205,3206,3207,3209,3210,3211,3212,3213,3214,3215,3216,3217,3218,3219,3221,3222,3223,3224,3226,3227,3228,3229,3230,3231,3232,3233,3234,3251,3270
3202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3203,1,NA,2,1,1,1,0,0,1,1,0,0,1,1,1,2,1,1,1,1,1,1,1,0,0,2,1,1,0,1,1,1
3204,1,2,2,2,1,2,-1,0,0,1,0,0,-1,0,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1
3205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3206,0,1,0,0,NA,2,1,1,1,2,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1
3207,0,0,0,1,2,NA,1,1,0,2,0,1,1,0,2,1,0,0,1,0,1,1,1,1,0,0,2,0,2,0,2,1
3209,1,0,0,0,1,1,NA,1,0,1,1,1,2,1,2,2,1,0,2,2,1,1,1,2,2,0,1,1,2,1,2,2
3210,1,0,0,0,-1,2,-2,0,0,0,0,0,0,2,-2,2,1,1,0,0,-2,2,2,1,2,0,1,-1,0,1,2,2
3211,1,2,2,0,1,1,0,1,NA,0,0,0,0,-1,0,1,1,2,1,1,1,1,1,0,1,2,1,2,1,1,1,0
3212,1,1,1,0,2,2,1,1,1,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,0,1,1
3213,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3214,1,1,1,1,1,2,2,1,1,1,1,NA,2,1,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1
3215,1,0,0,0,1,1,2,0,0,1,0,1,NA,0,2,2,1,1,2,2,2,1,0,1,1,0,1,1,2,0,0,2
3216,1,1,0,0,1,1,1,2,0,1,0,0,1,NA,1,1,2,1,0,1,1,2,1,1,1,0,2,1,1,0,1,2
3217,2,0,0,0,1,2,2,0,0,1,0,1,2,0,NA,2,1,0,2,2,2,1,0,2,1,0,-1,0,2,0,1,2
3218,2,2,2,1,2,2,2,2,1,2,0,2,2,2,2,NA,1,1,2,2,2,2,1,2,2,1,2,1,1,1,1,2
3219,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,NA,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1
3221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3222,1,0,0,0,1,1,2,0,0,1,0,2,2,0,2,2,1,1,NA,2,2,0,1,2,1,0,0,0,0,1,1,1
3223,1,1,1,0,1,1,2,1,0,1,0,1,2,1,2,2,1,0,2,NA,2,1,1,1,2,0,0,0,1,0,1,1
3224,0,0,0,0,0,1,2,1,0,0,0,1,2,0,2,2,2,0,2,1,NA,1,0,1,2,0,1,0,2,0,1,2
3226,0,0,-1,0,1,2,2,2,0,1,0,1,1,2,1,2,1,1,2,1,2,NA,1,1,2,2,2,1,2,1,2,2
3227,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,NA,0,0,0,0,0,0,0,2,0
3228,2,0,0,2,0,2,2,1,0,1,1,1,2,1,2,2,1,1,2,1,2,1,1,NA,1,0,1,1,1,1,2,2
3229,0,0,0,0,1,0,1,2,0,1,-1,1,1,1,1,2,1,0,1,1,1,2,1,0,NA,0,1,-1,0,0,2,2
3230,0,2,2,0,1,1,0,1,2,1,0,0,0,0,1,1,2,2,0,1,1,2,0,0,1,NA,NA,1,1,1,0,0
3231,1,1,0,0,2,2,1,1,0,2,NA,0,1,1,2,1,1,1,0,1,1,1,0,1,1,-1,NA,0,1,1,2,1
3232,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0
3233,2,NA,0,0,2,2,2,0,0,2,0,1,2,0,2,1,1,1,1,1,2,1,1,2,0,2,NA,0,NA,1,1,2
3234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3251,2,0,0,0,1,2,1,1,0,1,0,-1,1,-2,1,-2,0,0,1,0,1,1,2,2,2,0,2,-2,2,1,NA,2
3270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
