0,5301,5302,5303,5304,5305,5306,5307,5308,5310,5311,5312,5313,5314,5315,5316,5317,5318,5319,5320
5301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5315,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0
5316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
