0,6301,6302,6303,6304,6305,6306,6307,6308,6309,6310,6311,6312,6313,6314,6315,6316,6317,6318,6319,6320,6321,6322,6323,6324,6325,6326,6327,6328,6329,6330,6331,6332,6333
6301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6303,1,2,NA,1,1,1,2,1,-1,1,1,1,0,1,1,1,1,0,0,2,0,0,0,0,1,1,2,0,2,2,0,0,2
6304,1,1,1,NA,1,0,2,0,1,1,1,1,0,0,2,0,1,0,0,1,0,0,1,0,2,1,1,0,1,1,0,2,2
6305,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1
6306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6307,0,1,2,1,1,0,NA,1,-1,2,1,0,-1,0,1,1,1,0,0,2,0,0,0,0,0,2,1,0,1,2,0,0,2
6308,1,2,1,1,1,0,2,NA,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,2,0,1,0
6309,0,1,-1,2,1,0,0,0,NA,0,0,-1,0,0,0,0,0,0,1,NA,0,1,0,0,2,1,0,0,1,0,0,2,-2
6310,0,0,0,0,2,NA,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0
6311,1,1,2,0,1,1,1,0,-1,1,NA,-1,1,1,-1,0,1,0,0,1,0,2,1,0,1,1,1,-2,1,1,0,0,0
6312,1,1,1,1,1,0,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
6313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6314,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0
6315,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6316,1,0,1,0,1,0,1,1,0,1,0,2,0,2,2,NA,2,-1,1,1,0,0,2,0,0,2,1,2,2,1,2,0,-1
6317,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,NA,0,2,2,1,1,2,1,1,2,NA,1,1,2,1,1,1
6318,0,-1,1,1,1,1,1,1,-1,0,1,0,2,1,0,0,1,NA,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1
6319,2,1,0,0,0,1,1,1,0,1,-1,0,2,1,0,0,2,-1,NA,2,2,0,0,0,0,1,0,0,1,1,0,0,0
6320,1,1,2,1,0,0,2,1,2,0,1,0,1,2,1,1,2,1,2,NA,1,1,1,2,1,2,2,0,2,2,1,2,1
6321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6322,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,NA,0,2,0,0,1,0,0,0,-1,1,0
6323,0,-1,-1,1,0,0,1,1,0,1,1,-1,0,2,0,1,2,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,1
6324,1,1,1,1,1,0,0,1,1,1,2,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,0,1,1,0,1,1
6325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6326,1,0,1,1,0,0,2,0,0,1,-1,1,0,1,0,1,1,-1,1,2,0,-1,NA,NA,0,NA,1,1,1,2,1,0,0
6327,2,2,2,2,2,0,2,2,0,1,1,1,2,1,2,0,2,0,2,2,2,2,0,0,2,1,NA,1,1,2,0,0,1
6328,1,0,0,1,2,0,1,0,0,2,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,2,1,1,-1,0,0
6329,1,1,2,1,1,1,1,1,1,1,1,NA,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
6330,1,2,2,2,1,0,2,2,-1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,NA,0,1,1
6331,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0
6332,0,1,0,2,0,0,0,2,2,-1,0,-2,0,1,0,0,1,0,1,2,0,0,0,0,1,1,1,-1,0,1,0,NA,-2
6333,0,2,2,2,0,-1,2,-1,-1,0,1,0,0,0,2,-1,1,0,1,1,0,0,1,0,0,1,2,0,0,0,0,0,NA
