0,5601,5602,5603,5604,5605,5606,5607,5608,5609,5610,5611,5613,5614,5615,5617,5619,5620,5622,5623,5624,5626,5627,5628
5601,NA,0,0,0,0,0,2,0,0,0,0,1,0,-1,-2,0,0,0,0,0,1,1,-2
5602,0,NA,2,2,NA,NA,-2,NA,1,-1,NA,2,NA,1,NA,2,NA,1,NA,2,2,2,1
5603,0,2,2,1,-1,-2,1,-1,1,-2,-1,2,0,1,-2,0,-2,2,NA,-2,1,1,1
5604,0,1,1,NA,0,0,NA,2,NA,-2,-1,2,-1,-1,-1,2,-1,-1,2,-1,-1,-1,-1
5605,0,0,0,0,NA,0,0,0,1,-1,2,0,2,0,-1,0,1,0,-1,0,1,1,1
5606,1,1,1,0,0,NA,-2,-2,1,2,2,2,2,2,2,1,2,2,-2,-2,2,2,2
5607,2,0,1,0,0,0,0,0,1,0,0,0,0,0,-1,1,1,1,NA,1,1,1,-1
5608,-1,2,1,2,1,0,-2,NA,2,-2,2,2,2,2,1,1,1,1,1,0,1,1,1
5609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5610,1,0,0,-2,0,0,-2,0,0,NA,0,0,0,1,1,0,0,0,0,-2,0,0,0
5611,0,0,0,0,2,0,0,1,1,1,NA,0,2,0,0,0,1,1,0,0,0,0,2
5613,-1,2,2,2,1,0,-1,1,1,-2,1,NA,1,0,0,-1,1,2,0,-1,1,1,1
5614,-1,-1,0,0,2,-1,-1,0,-1,-1,2,-1,2,-1,-1,-1,0,-1,-1,-1,-1,-1,0
5615,0,1,1,0,0,0,-2,2,2,2,NA,-1,0,NA,2,1,1,1,1,2,0,0,2
5617,0,1,2,0,-2,2,-2,1,0,1,2,-1,-2,2,NA,-1,2,2,2,-2,1,1,2
5619,0,2,1,1,0,0,0,0,1,-1,0,0,-1,0,0,0,0,0,1,1,0,NA,NA
5620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5622,-1,1,2,1,-1,-2,-2,-1,0,-2,2,2,1,1,1,0,-2,2,-1,-2,-2,0,1
5623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5624,0,2,0,1,0,0,0,-1,0,-2,-1,1,-1,1,1,2,0,0,NA,NA,1,1,NA
5626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5627,1,2,1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,NA,1,2,NA,-1
5628,0,0,1,1,1,1,0,1,1,0,2,1,2,2,2,1,2,2,2,1,0,0,NA
