0,7804,7805,7806,7807,7808,7814,7817,7818,7821,7822,7824,7827,7830,7832
7804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7805,-1,NA,1,0,0,2,2,1,1,2,-1,1,1,0
7806,-1,1,NA,2,0,1,1,2,2,1,-1,1,1,2
7807,-1,0,1,NA,-2,1,0,0,1,2,-1,1,2,0
7808,NA,1,0,0,NA,1,1,0,-1,1,-1,-2,0,-2
7814,0,2,2,2,1,NA,2,1,1,2,1,1,1,1
7817,0,2,1,0,0,2,NA,2,0,2,0,0,0,0
7818,0,1,2,1,0,1,2,NA,1,1,1,1,2,2
7821,-2,1,1,1,-1,1,1,1,1,1,1,2,1,1
7822,-1,2,1,1,1,2,2,1,0,NA,0,1,1,-1
7824,-1,0,1,1,-1,0,0,1,1,1,NA,1,2,1
7827,-2,1,1,1,0,1,1,1,2,2,1,2,2,1
7830,-1,0,1,2,-1,0,0,2,2,2,-2,2,NA,2
7832,-1,0,0,0,-1,0,0,2,0,1,0,1,1,1
