0,4101,4102,4103,4104,4105,4106,4107,4108,4109,4111,4112,4113,4114,4115,4116,4117
4101,2,2,1,1,2,1,1,1,1,1,2,0,0,1,2,1
4102,1,NA,0,1,0,-1,-1,0,1,-2,1,0,1,2,0,0
4103,1,0,NA,0,2,2,0,0,1,2,0,2,-2,0,1,1
4104,0,1,0,2,2,0,0,1,0,-1,1,0,2,2,0,2
4105,0,1,2,1,NA,0,2,2,2,2,1,0,1,0,1,1
4106,1,-2,2,0,1,NA,-2,-1,-1,2,1,2,-2,-1,1,0
4107,2,0,0,0,2,0,NA,2,2,1,0,0,0,-1,0,-1
4108,1,0,1,1,2,0,2,NA,2,0,2,0,2,2,1,1
4109,1,0,1,1,2,0,2,2,NA,1,1,1,0,0,1,1
4111,0,0,2,0,2,2,0,0,2,NA,0,2,0,0,0,0
4112,2,2,0,1,1,0,0,2,1,1,2,1,2,NA,2,2
4113,0,-1,2,0,-1,1,-2,-1,0,1,1,NA,0,0,1,2
4114,0,1,0,2,0,0,0,1,0,1,2,0,2,2,0,1
4115,0,2,0,2,0,-1,-2,1,0,0,1,-1,2,2,-1,2
4116,1,0,0,0,0,-1,0,0,0,0,1,1,1,-1,NA,1
4117,0,0,0,2,0,0,-1,1,1,0,2,1,2,2,2,2
