0,4101,4102,4103,4104,4105,4106,4107,4108,4109,4110,4111,4112,4113,4114,4115,4116,4117
4101,2,2,1,1,0,0,-1,1,1,0,0,2,1,1,2,1,2
4102,1,NA,0,0,-1,-1,0,0,1,2,-1,1,0,1,1,0,1
4103,0,0,NA,-1,2,1,2,1,1,2,1,0,2,0,-1,1,1
4104,0,0,0,2,-2,0,0,0,0,0,-1,1,1,1,2,1,1
4105,0,1,2,-1,NA,1,1,1,2,2,1,-1,1,0,0,1,1
4106,1,1,2,0,1,NA,0,0,0,2,2,1,2,-1,0,1,0
4107,0,-1,2,-1,1,0,NA,2,1,0,0,NA,0,0,-1,0,-1
4108,0,1,2,-1,1,1,2,NA,2,1,0,0,0,1,0,1,0
4109,0,1,1,0,2,0,2,2,NA,0,1,1,1,0,1,0,1
4110,1,1,2,0,1,2,0,0,0,NA,2,0,1,0,0,1,1
4111,-2,0,2,-1,2,2,1,1,2,2,NA,-2,1,-1,-1,0,-1
4112,2,2,1,2,-2,-2,-2,-2,0,0,-2,NA,2,2,2,2,2
4113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4114,2,1,0,1,0,0,0,0,0,0,0,2,1,2,2,1,1
4115,1,1,0,2,0,0,-1,-1,0,0,0,1,1,2,NA,0,1
4116,0,0,1,1,-2,0,0,0,0,0,0,2,1,2,1,NA,2
4117,2,1,1,2,-1,0,-2,0,1,0,-1,2,1,2,2,2,2
