0,5202,5212,5217,5218,5225,5304,5305,5306,5307,5311,5314,5315,5316,5318,5360,5361
5202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5212,2,2,2,2,2,2,1,2,1,2,2,2,2,2,NA,NA
5217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5225,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5304,-1,2,0,1,0,2,1,1,1,NA,1,-2,NA,0,-1,0
5305,0,0,0,2,0,2,2,2,0,2,2,2,2,0,0,2
5306,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5307,-1,0,0,0,0,1,0,0,0,0,0,-1,0,1,0,0
5311,-1,2,0,2,-1,2,2,1,1,NA,-2,-2,2,0,-1,0
5314,-1,0,-1,0,-1,2,2,2,1,1,NA,2,1,1,-1,2
5315,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
5316,-2,1,0,2,-2,2,2,1,1,2,-2,-2,NA,-1,-2,-2
5318,-2,2,2,-1,0,0,0,-1,2,0,-1,-2,0,NA,-2,0
5360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5361,-1,1,-1,1,-1,1,2,1,-1,1,1,1,1,1,-1,NA
