0,3336,3361,3401,3402,3404,3406,3407,3408,3410,3412,3413,3414,3415,3416,3417,3423,3425,3426,3427,3428,3429,3430,3432,3433,3434,3436
3336,NA,1,1,2,1,2,0,1,2,-2,0,0,2,1,1,0,2,0,0,2,1,0,0,2,0,1
3361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3401,1,2,NA,1,2,1,2,2,2,1,1,2,2,1,1,2,1,1,2,1,2,1,2,1,2,2
3402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3404,0,0,0,-1,NA,0,0,0,1,-1,2,1,2,1,-1,0,-2,0,1,2,0,2,0,0,-1,1
3406,2,0,1,2,1,NA,-1,1,2,-2,-1,0,1,0,0,0,2,0,0,1,1,1,-1,2,0,1
3407,0,1,1,-1,1,0,NA,1,1,1,1,1,1,1,1,2,-1,1,2,2,2,1,1,0,1,0
3408,0,1,0,1,1,1,0,NA,2,2,0,2,2,0,2,0,1,0,-2,2,0,0,2,2,0,0
3410,2,0,1,2,1,2,0,0,NA,-2,0,0,2,-2,0,0,2,0,-2,1,0,0,0,2,0,1
3412,0,0,0,-2,1,0,0,-2,0,NA,-1,-1,1,2,-2,2,-2,2,1,1,0,1,2,-2,-2,-1
3413,0,0,0,0,2,0,0,1,0,0,NA,1,2,2,2,0,0,1,2,2,1,2,1,0,0,0
3414,0,0,1,0,1,0,1,1,1,0,0,NA,1,1,2,1,0,0,1,1,1,0,-2,1,0,1
3415,2,1,1,1,1,1,NA,-2,2,-1,0,-1,NA,1,-1,1,1,-2,-2,2,0,1,0,1,0,2
3416,1,0,0,2,1,1,1,-1,0,1,1,1,1,NA,-1,0,0,2,2,0,0,1,1,1,-1,-1
3417,0,0,0,0,1,1,1,1,1,1,1,2,1,0,NA,1,1,0,1,1,0,1,1,1,0,1
3423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3425,2,0,1,2,0,2,0,1,2,-2,0,-1,2,0,1,0,NA,-2,0,2,1,0,-1,2,0,0
3426,1,0,1,1,1,1,1,-1,0,2,0,0,1,2,-1,0,-1,NA,2,0,0,0,0,1,0,0
3427,0,1,0,-1,1,-1,1,-2,0,1,1,1,1,1,-2,1,-1,1,NA,1,1,2,0,1,1,1
3428,1,1,1,1,2,1,1,0,1,-1,1,1,2,1,1,1,1,-2,0,NA,1,2,1,1,0,1
3429,1,1,2,0,2,2,1,-2,2,-2,1,1,2,0,0,-1,-1,1,-1,2,NA,1,0,0,1,2
3430,0,0,1,-1,2,0,0,0,-1,0,1,1,2,1,1,1,0,-1,2,2,1,NA,1,0,1,1
3432,0,1,1,-2,1,-1,1,2,0,1,0,-1,0,0,2,1,-2,0,0,0,1,0,NA,-1,-1,2
3433,2,0,1,2,1,2,-1,-1,2,-2,0,0,1,0,0,-1,2,-1,-1,1,1,0,-2,NA,-1,1
3434,2,1,2,0,0,0,1,0,NA,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,NA,1
3436,1,1,2,1,2,2,0,-2,1,-2,0,0,1,0,-1,-1,0,0,-1,0,2,-1,1,-1,1,2
