0,2307,2325,2612,2615,2625,2634,2654,2708,2709,2726,9201,9203,9204,9205,9206,9207,9208
2307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2615,NA,NA,1,NA,1,0,NA,1,2,2,1,2,NA,2,NA,NA,NA
2625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2634,0,0,0,1,0,NA,0,0,1,0,0,1,1,0,0,0,-2
2654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2708,1,-1,1,1,1,1,-1,1,1,1,1,2,1,1,-1,-1,NA
2709,0,0,0,1,1,1,0,1,NA,2,0,1,0,1,0,0,0
2726,0,0,1,1,0,0,0,2,2,NA,1,0,0,1,0,0,0
9201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9203,1,-1,1,1,1,1,-1,1,1,1,1,2,1,1,-1,-1,-2
9204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9205,1,1,0,2,1,-2,1,1,2,2,1,2,1,1,0,1,NA
9206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
