0,5226,5401,5402,5403,5404,5405,5406,5407,5408,5409,5410,5411,5412,5413,5414,5415,5416,5417,5418,5419,5420,5421,5422,5423,5424,5425,5426,5427,5428,5429,5430,5431,5432,5433,5434,5435,5451,5452
5428,0,1,0,0,0,0,2,1,0,-2,1,0,0,0,-2,0,0,0,NA,0,NA,1,0,1,1,0,1,1,NA,1,0,0,0,-2,-2,2,0,0
5429,0,1,1,1,NA,0,0,2,0,1,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,-1,NA,0,0,0,2,2,1,0,0
5430,1,0,2,1,2,NA,1,1,1,1,0,0,1,2,2,2,2,2,NA,2,NA,1,2,2,0,2,1,1,0,1,NA,2,0,2,1,1,1,2
5431,0,0,-1,1,0,2,0,0,-1,0,0,-2,-1,2,0,2,2,1,NA,0,NA,0,-1,1,-1,2,0,0,0,0,1,NA,-1,1,0,0,0,1
5432,1,0,1,0,0,0,1,1,-1,1,1,0,1,1,1,1,0,1,NA,1,NA,1,1,2,1,1,1,2,1,1,1,0,1,2,1,1,0,NA
5433,0,1,2,0,0,0,1,1,0,-2,1,1,0,0,2,1,0,0,NA,0,NA,1,1,2,0,0,1,2,0,1,0,0,-1,NA,1,1,0,1
5434,0,0,1,2,-1,-1,1,2,0,2,1,0,0,0,0,0,0,-1,NA,0,NA,0,0,0,0,1,2,2,-1,2,0,0,0,1,NA,0,0,0
5435,0,2,1,0,0,0,2,1,0,0,2,1,0,0,2,0,0,0,NA,1,NA,2,1,2,1,0,0,1,2,1,1,0,1,1,0,NA,0,0
5451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5452,0,0,2,2,2,2,0,0,0,0,0,0,1,2,2,2,2,2,NA,0,NA,0,2,2,-1,2,1,2,0,0,2,2,2,2,1,1,1,NA
