0,6201,6202,6203,6204,6205,6206,6207,6208,6209,6210,6211,6212,6213,6214,6215,6216,6217,6218,6219,6220,6221,6222,6223,6224,6225,6226,6227,6228,6229,6230,6231,6232,6233,6234,6260,6261
6201,NA,1,1,1,1,2,1,0,1,2,1,1,2,2,-1,1,1,1,2,1,1,2,-1,0,1,1,1,1,0,1,0,-2,1,1,1,0
6202,0,NA,1,1,0,1,1,0,2,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0,0,0,-1,1,2,0,0
6203,0,1,NA,2,0,1,2,-1,2,0,1,-1,1,0,-1,2,1,2,0,1,1,0,-1,1,2,1,0,2,1,1,0,-2,0,1,-1,0
6204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6205,1,1,0,2,0,1,0,0,1,-1,0,1,-1,0,2,-1,1,0,0,0,0,1,2,-1,0,1,0,1,1,2,2,2,1,0,2,2
6206,1,2,2,2,1,NA,2,0,2,0,1,1,0,0,0,1,2,2,1,1,1,1,0,1,2,0,2,1,0,0,0,0,2,2,1,0
6207,1,1,2,2,1,2,0,0,0,0,1,1,1,0,0,0,2,1,0,0,0,0,0,0,2,0,1,0,0,0,0,-1,0,0,0,0
6208,1,0,0,1,1,0,0,1,0,1,0,2,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,2,0,1,0,0,0,1,1
6209,1,2,2,-1,1,2,1,0,NA,0,0,1,-1,0,-1,1,1,-1,1,2,-1,1,0,1,2,2,2,1,0,1,1,-1,2,2,0,0
6210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6211,1,1,1,2,1,1,1,0,0,0,0,1,1,1,0,2,2,0,0,2,2,1,0,1,0,1,2,1,0,1,-1,1,1,-1,0,0
6212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6213,2,0,1,1,0,1,1,0,0,2,1,1,NA,2,-1,0,1,0,2,1,1,1,-1,0,0,1,0,0,1,0,0,-2,1,-1,0,0
6214,2,0,0,0,1,1,0,0,0,1,0,0,2,2,-1,0,0,0,1,0,-1,1,-1,-1,0,0,0,0,1,0,0,-2,0,0,0,0
6215,-1,0,0,2,2,1,1,0,0,0,0,1,1,0,2,0,0,0,-1,0,-2,-1,2,1,2,1,-1,0,2,0,2,2,0,1,2,2
6216,1,1,2,2,0,1,1,0,0,0,2,0,0,0,0,1,1,2,1,2,1,0,-1,-1,-1,1,2,1,0,-1,-1,-2,0,0,0,-1
6217,2,1,0,2,1,2,2,0,0,-1,2,1,1,0,-1,1,NA,1,0,1,1,1,-1,-1,0,0,1,2,1,1,0,-1,2,-1,1,0
6218,0,1,2,2,1,2,2,0,1,0,0,1,0,0,0,2,2,NA,0,1,2,0,0,-2,1,0,0,1,0,-1,1,-1,1,0,1,1
