0,2001,2002,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2016,2017,2018,2019,2020,2021,2022,2023,2051,2052,2091,2092,2093,2094,2095
2001,NA,0,1,2,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,1,0,NA,1,0,1,-1,1,0,0,1,-2,2,0,0,0,-2,1,1,1,2,2,2,0,1,2,2
2005,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
2006,-1,-1,-1,0,NA,0,0,0,2,-2,-2,2,-2,-2,-2,-2,0,-2,0,2,0,0,0,0,0,0,0
2007,2,0,0,2,2,1,0,0,0,0,0,0,-1,-1,-1,0,0,0,2,0,1,1,1,0,1,1,1
2008,1,1,-2,0,1,1,1,2,1,1,2,1,-2,2,-1,1,2,0,1,1,-2,-2,-2,-1,2,-2,1
2009,1,NA,0,0,1,1,2,NA,-1,-1,2,1,0,2,0,2,2,2,1,1,0,0,1,1,2,0,2
2010,-1,-1,-1,-1,2,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,NA,-1,1,-1,-1,-1,-1,-1,-1,-1
2011,-2,-2,-2,-2,-2,-2,-1,-2,0,NA,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0,-1,-2,1,1,1,0,-1,0,0,0,NA,1,-2,-2,0,-1,-2,0,0,-2,-2,-2,-2,0,1,-2
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019,1,1,2,0,2,1,1,2,1,1,2,1,1,1,0,NA,1,NA,0,0,1,1,2,-1,0,-1,-1
2020,1,2,-2,-1,1,1,2,2,1,0,2,0,0,1,-1,-1,NA,NA,-1,0,NA,-2,-2,-2,1,-2,1
2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,-1,NA,NA,2,-1,2,-1,-1,NA,-1,-1,2,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1,-1,NA,NA,NA,NA
2023,-1,0,0,0,-2,0,0,1,2,-2,-2,2,-2,-2,-2,0,0,0,0,2,0,1,1,0,0,0,0
2051,0,-1,2,1,0,1,0,0,0,0,1,0,2,0,0,1,-1,0,0,0,NA,2,2,1,1,NA,0
2052,0,-1,2,1,-1,-1,-1,0,0,0,0,-1,2,0,-1,0,0,0,0,0,0,2,0,2,1,1,0
2091,1,0,2,1,0,1,1,1,0,0,1,0,2,0,0,0,0,1,NA,1,1,1,NA,1,2,2,2
2092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2093,1,1,2,1,1,1,2,2,2,1,2,2,2,1,0,1,2,1,1,1,2,1,2,1,NA,NA,1
2094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
