0,2531,2662,2806,2807,2911,9702,9704,9705,9706,9707,9708
2531,NA,2,2,1,1,0,1,2,2,-1,0
2662,2,NA,2,0,1,1,2,2,1,0,0
2806,0,1,1,0,2,1,NA,0,2,0,0
2807,1,1,1,NA,1,0,1,2,2,1,2
2911,2,1,1,1,NA,2,2,2,2,1,1
9702,0,1,0,1,1,NA,1,1,1,0,1
9704,2,1,0,0,1,0,1,2,1,1,-1
9705,2,2,NA,1,1,0,2,2,1,2,1
9706,2,1,1,1,2,1,2,2,NA,1,1
9707,0,0,1,0,0,0,0,2,NA,NA,0
9708,1,0,0,2,1,2,1,1,2,0,NA
